"tree_ids","Longitude","Latitude","Z"
320,13.3249615546975,52.5143655731866,13.517
321,13.3253592570556,52.5143712026993,13.545
322,13.3270237165003,52.5143947487569,13.074
323,13.3260371659188,52.5143718043138,11.633
324,13.3264643280111,52.5143778468928,16.636
325,13.326552706394,52.5143790968891,17.761
326,13.327392301355,52.5143909685639,15.647
327,13.3277605449438,52.5143961735603,12.297
328,13.3228558918231,52.5143177627118,12.961
329,13.3246823738657,52.5143436382282,17.336
330,13.3263321019685,52.5143669854428,14.576
331,13.3262293354361,52.514356540584,14.58
332,13.3274519029041,52.5143738287665,15.066
333,13.325463731882,52.5143367166733,12.957
334,13.3278650179968,52.5143616853989,10.57
335,13.324624822516,52.5143068586779,17.524
336,13.3251256321607,52.5143139488953,17.019
337,13.3252581994545,52.5143158253629,13.973
338,13.3262745491929,52.5143302066833,12.222
339,13.3266722514983,52.5143358317815,18.648
340,13.3274234673228,52.5143464533218,14.723
341,13.3247577315945,52.5142997493817,14.167
342,13.3248902988206,52.514301626261,11.25
343,13.3253763787751,52.5143085068821,10.89
344,13.3277331328555,52.5143418391735,12.518
345,13.3271148258217,52.5143241076528,21.952
346,13.3266438164299,52.5143084561535,20.21
347,13.3270860491185,52.5143057184642,21.952
348,13.3272775353701,52.5143084256978,18.99
349,13.3277930754297,52.5143157128641,12.585
350,13.3241404525943,52.5142550433611,14.802
351,13.3247296395944,52.5142633869789,14.941
352,13.3276608492124,52.5143048528978,12.592
353,13.324022957218,52.5142443879643,16.473
354,13.3274697042254,52.5142931599474,15.417
355,13.3228154673713,52.5142182868685,32.113
356,13.3235228328281,52.5142193204493,17.32
357,13.3239647225532,52.5142255807406,17.134
358,13.3264540377084,52.5142608162323,13.814
359,13.32657187524,52.5142624828871,16.41
360,13.3274409273919,52.514274770844,15.041
361,13.3275145759082,52.5142758119031,15.495
362,13.323199122623,52.5142057422031,38.614
363,13.324097631476,52.5142184721846,14.954
364,13.3247457366398,52.5142276502331,14.772
365,13.3266753245377,52.5142549547803,20.119
366,13.3272939716948,52.5142637022521,19.103
367,13.3242747293323,52.514211989318,18.003
368,13.3281633653356,52.5142669985667,17.421
369,13.3283990406488,52.5142703283555,15.979
370,13.3234649405176,52.5141915266625,17.119
371,13.3236122369773,52.5141936136809,18.38
372,13.328340804033,52.51425152327,17.764
373,13.3273104079853,52.5142189788035,17.746
374,13.3235546867262,52.5141568336182,20.538
375,13.3239229276362,52.5141620505387,16.225
376,13.3246008330758,52.5141626603558,12.664
377,13.3232165894933,52.5141340604041,39.298
378,13.3241003672574,52.51414658161,15.111
379,13.3239534129201,52.5141355088793,17.55
380,13.3243363833615,52.5141409331611,15.666
381,13.3271350172149,52.5141805345388,16.397
382,13.3285490662697,52.5142005184981,17.716
383,13.3228343037909,52.5141106598671,31.219
384,13.3270027915814,52.5141696738416,16.421
385,13.3284168401923,52.5141896593778,15.912
386,13.3237920710702,52.5141152409769,13.547
387,13.3246022005546,52.514126715059,12.102
388,13.3276512382365,52.5141698496374,15.916
389,13.3246909202008,52.5141189801171,14.963
390,13.3235423516926,52.5140937206821,12.022
391,13.3248680175893,52.5141124963583,13.537
392,13.3278286767045,52.5141543751067,15.055
393,13.3285651602031,52.5141647812063,16.517
394,13.3233659384713,52.5140822298185,12.062
395,13.3274905770072,52.5141316140875,17.995
396,13.3273583514238,52.5141207537881,20.113
397,13.3277707817138,52.5141265834046,15.765
398,13.3242802003043,52.5140682081547,14.361
399,13.3243391187456,52.5140690425768,13.841
400,13.3263718067404,52.5140978121838,13.117
401,13.3275207188662,52.5141140578283,19.585
402,13.3285517947848,52.51412862776,15.971
403,13.3287138210808,52.5141309165043,12.557
404,13.3250173645966,52.5140606636712,13.288
405,13.326770189821,52.5140854642694,16.461
406,13.3232357670402,52.5140174470108,38.523
407,13.3234567108375,52.5140205778902,16.791
408,13.3237660322221,52.5140249604286,15.007
409,13.3286268072916,52.514093722755,15.995
410,13.3228534823371,52.5139940465437,30.766
411,13.3263885854028,52.5140441025369,16.471
412,13.3246361040269,52.5140103099761,10.203
413,13.3250338031116,52.514015940556,13.321
414,13.32893715296,52.5140711327529,16.411
415,13.323620104588,52.5139869283268,14.24
416,13.3232374777716,52.5139725154201,38.709
417,13.3239739565036,52.5139829500643,12.074
418,13.3237533548772,52.5139708338315,15.088
419,13.3264046810228,52.5140083655521,12.796
420,13.3267876508383,52.514013781893,16.456
421,13.3240335587887,52.5139658119942,13.54
422,13.3289237872621,52.5140349793458,17.185
423,13.32812872845,52.5140147566492,18.083
424,13.3267886751039,52.5139868228897,16.477
425,13.3280701511278,52.5140049377739,18.1
426,13.3284089323736,52.5140097244481,10.075
427,13.328821361845,52.5140155503952,12.911
428,13.3250361955666,52.5139530362711,13.812
429,13.3233279079593,52.5139198499075,14.494
430,13.3290135289409,52.5140002821215,15.158
431,13.3237406775621,52.5139167072329,12.758
432,13.3266718626326,52.513958197455,10.777
433,13.3282773891421,52.5139808924933,16.562
434,13.3240356106856,52.5139118940628,13.503
435,13.3281893526161,52.5139706574505,15.527
436,13.3291025885806,52.5139835575179,14.481
437,13.32325528662,52.513891847293,41.526
438,13.3244925688932,52.5139093746735,18.194
439,13.3228726607749,52.5138774332142,31.594
440,13.3267612644633,52.5139324882862,10.618
441,13.3280574684877,52.513950811594,12.614
442,13.3250529757946,52.5138993268254,13.543
443,13.3282640240132,52.5139447390159,16.229
444,13.3245230536587,52.5138828328618,18.172
445,13.3267033704464,52.5139046960689,10.195
446,13.3284712616452,52.5139206933922,20.538
447,13.3292817303986,52.51392314907,13.197
448,13.3268075017156,52.5138791951701,17.144
449,13.3282804591952,52.5139000154211,18.338
450,13.3285161325592,52.5139033449606,21.276
451,13.329105316171,52.5139116667569,21.605
452,13.3240976066355,52.5138318517044,11.428
453,13.3250550264388,52.5138454088653,12.938
454,13.3286051921825,52.5138866207311,23.289
455,13.3291799869411,52.5138857477386,14.215
456,13.3281492575197,52.5138621969855,19.013
457,13.3228911546765,52.5137787925122,31.381
458,13.325925436074,52.5138217625695,15.235
459,13.3294310716882,52.5138713107615,14.873
460,13.3260436139708,52.5138144434097,35.157
461,13.3282235876274,52.5138452649156,19.491
462,13.3283708832872,52.5138473460021,18.167
463,13.3256167990919,52.5137994130278,12.86
464,13.3280324444627,52.5138335728888,10.572
